uid,BLOCK_ADDRESS,Location,Person,Zip
100900,034XX Francis,"(9.235500543E-7, -0.0000022929847665)",Grace,
144174,Conti & River,"(9.235500543E-7, -0.0000022929847665)",Grace,
150740,Bienville St & N Tonti St,"(29.964915470868, -90.082564402144)",Grace,
151725,Bienville St & Chartres St,"(29.954302407578, -90.066664359492)",Grace,
153667,Duane Rd & Paris Rd,"(30.06981132641, -89.94043383606)",Grace,
155573,Harrison Ave & West End Blvd,"(30.005181459098, -90.114606305664)",Grace,
156514,Loyola Ave & Perdido St,"(29.951986971208, -90.075845377429)",Grace,
158421,Abundance St & Oliver White Ave,"(29.987421270545, -90.034290111417)",Grace,
158563,Behrman Ave & Newton St,"(29.944969546977, -90.036803672157)",Grace,
158569,Columbus St & Odeon Ave,"(29.935302226484, -90.022822020245)",Grace,
159057,Bullard Ave & I-10 E,"(30.046046312014, -89.96116653257)",Grace,
159495,Eagle St & Hickory St,"(29.956303702742, -90.131078740776)",Grace,
220813,038XX Ursula Spencer,"(9.235500543E-7, -0.0000022929847665)",Grace,
347846,013XX Laurel,"(9.235500543E-7, -0.0000022929847665)",Grace,
395062,033XX Cecil St,"(29.972725635611, -90.125571314189)",Grace,
469902,020XX Edith Winston,"(9.235500543E-7, -0.0000022929847665)",Grace,
474924,X Ccc In,"(29.938697688387, -90.056297451018)",Grace,
502947,079XX Mullet,"(9.235500543E-7, -0.0000022929847665)",Grace,
632060,Hwy 009XX,"(9.235500543E-7, -0.0000022929847665)",Grace,
1159216,136XX N Lemans Dr,"(9.235500543E-7, -0.0000022929847665)",Grace,70128
1331903,061XX Tullis Drive,"(9.235500543E-7, -0.0000022929847665)",Grace,70131
1335594,037XX N Tonti,"(30.005433564635, -90.074760719477)",Grace,
1336349,055XX Rose,"(29.990790657263, -90.112801368496)",Grace,
1346336,047XX Laine,"(30.027562172897, -89.968171397062)",Grace,
1353126,054XX Grand Bayou,"(30.027168682218, -89.967882874519)",Grace,
1364513,033XX Florence Ave,"(29.928326916768, -90.032391450744)",Grace,
1367948,014XX St Anthony St,"(29.972225274173, -90.061651587152)",Grace,
1367999,014XX St Anthony St,"(29.972225274173, -90.061651587152)",Grace,
1385809,Lelong Ave & Esplanade Ave (3I06),"(29.984307109495, -90.089978495401)",Grace,
1387112,023XX Annette St,"(29.981264156193, -90.063896010588)",Grace,
1387245,059XX Boeing,"(30.027562172897, -89.968171397062)",Grace,
1391694,078XX Chef Menteur Hwy,"(30.013221598347, -89.9950212892)",Grace,
1394491,063XX Chef,"(30.01942969218, -89.963334052224)",Grace,
1395368,025XX St Anthony St,"(29.982627618145, -90.062416096339)",Grace,
1397575,Saint Roch Ave & N Roman St (5G02),"(29.975897473165, -90.053240612584)",Grace,
1402038,037XX Tall Pines,"(29.949838112758, -90.031896265559)",Grace,
1406436,033XX Huntlee Dr,"(29.920699909732, -90.004757164889)",Grace,
1409773,014XX Freret St,"(29.944565029348, -90.083959393397)",Grace,
1414258,024XX Hudson Pl,"(29.929250063486, -89.999083496309)",Grace,
1415368,035XX Elysian Fields Ave,"(29.963491928252, -90.074588660172)",Grace,
1417312,096XX Hayne,"(30.027284329412, -89.967897092396)",Grace,
1420390,019XX Painters,"(29.977138773311, -90.04939632401)",Grace,
1421724,014XX Tupelo St,"(29.963002278859, -90.009553459428)",Grace,
1421836,002XX Vallette St,"(29.953564972583, -90.049030171833)",Grace,
1421913,061XX Tullis Dr,"(29.90640715769, -89.988438926704)",Grace,
1430149,121XX N I-10 Service Rd,"(30.048144638282, -89.959591923909)",Grace,
1436814,068XX Parc Brittany Blvd,"(30.027428708282, -89.999966118121)",Grace,
1440253,070XX Martin Dr,"(30.027353648279, -90.0113411066)",Grace,
1458694,015XX N Dorgenois St,"(29.976981770832, -90.075283929137)",Grace,
1459575,042XX N Claiborne Ave,"(29.970403114122, -90.031943842922)",Grace,
1461888,Chef Menteur Hwy & Downman Rd,"(30.009733896991, -90.020902284083)",Grace,
1471322,012XX Kable,"(29.923639357121, -89.983654280944)",Grace,
1472452,060XX St Claude Ave,"(29.960595302635, -90.011944571591)",Grace,
1473645,012XX Odeon Ave,"(29.942416288934, -90.022523350203)",Grace,
1474633,023XX N Tonti,"(29.956391383607, -90.08526401143)",Grace,
1479053,034XX Livingston St,"(29.97264847, -90.12417223)",Grace,
1482172,072XX Boston Dr,"(30.03705437, -89.9897275)",Grace,
1482589,012XX S Genois St,"(29.95865001, -90.1062806)",Grace,
1484532,107XX Roger Dr,"(30.0415009, -89.97201047)",Grace,
1487129,023XX Kraft Pl,"(29.93134667, -90.03369968)",Grace,
1487168,031XX N Miro St,"(29.97897365, -90.04010005)",Grace,
1487409,025XX Bienville St,"(29.97962051, -90.10361001)",Grace,
1496372,038XX Saint Bernard Ave,"(29.99572116, -90.0789517)",Grace,
1498354,055XX Tullis Dr,"(29.94983828, -90.03189416)",Grace,
1500255,067XX Tara Ln,"(30.02944135, -89.9844673)",Grace,
1500461,020XX Felicity St,"(29.93986825, -90.08181967)",Grace,
1501235,075XX Dune Dr,"(30.05669831, -89.95871355)",Grace,
1501305,139XX Wales St,"(30.06679649, -89.95100291)",Grace,
1501487,060XX Cameron Blvd,"(30.01942724, -90.06469641)",Grace,
1504258,013XX Jackson Ave,"(29.93401091, -90.08060507)",Grace,
1506534,001XX S Rampart St,"(29.95527713, -90.07284559)",Grace,
1507200,036XX Dumaine St,"(29.9782504, -90.09090352)",Grace,
1508225,101XX Curran Blvd,"(30.04727305, -89.98071308)",Grace,
1508403,036XX Duplessis St,"(29.99710138, -90.07702288)",Grace,
1508493,049XX Laine Ave,"(30.02290831, -89.99114259)",Grace,
1509373,083XX Cohn St,"(29.95368511, -90.12640616)",Grace,
1510771,036XX W Homestead Dr,"(29.93805328, -90.01875922)",Grace,
1512285,023XX Mazant St,"(29.97870362, -90.0305676)",Grace,
1513809,035XX Delachaise St,"(29.94620668, -90.10030666)",Grace,
1516133,070XX Crowder Blvd,"(30.03205044, -89.99409817)",Grace,
