"uid","NOPD_Item","Type_","TypeText","Priority","TimeCreate","BLOCK_ADDRESS","Zip","Location","DV_related","Location_new","lat","long"
100900,"C2327611","103D","DOMESTIC DISTURBANCE","2B","03/16/2011 01:32:24 AM","034XX Francis",NA,"(9.235500543E-7, -0.0000022929847665)",1,"9.235500543E-7, -0.0000022929847665",9.235500543e-07,-2.2929847665e-06
144174,"D2560811","103D","DOMESTIC DISTURBANCE","1B","04/16/2011 02:26:49 PM","Conti & River",NA,"(9.235500543E-7, -0.0000022929847665)",1,"9.235500543E-7, -0.0000022929847665",9.235500543e-07,-2.2929847665e-06
220813,"F1564411","103D","DOMESTIC DISTURBANCE","1B","06/10/2011 10:39:02 PM","038XX Ursula Spencer",NA,"(9.235500543E-7, -0.0000022929847665)",1,"9.235500543E-7, -0.0000022929847665",9.235500543e-07,-2.2929847665e-06
347846,"I1513711","103D","DOMESTIC DISTURBANCE","2B","09/11/2011 05:16:51 AM","013XX Laurel",NA,"(9.235500543E-7, -0.0000022929847665)",1,"9.235500543E-7, -0.0000022929847665",9.235500543e-07,-2.2929847665e-06
469902,"L1557911","103D","DOMESTIC DISTURBANCE","2B","12/11/2011 12:18:49 AM","020XX Edith Winston",NA,"(9.235500543E-7, -0.0000022929847665)",1,"9.235500543E-7, -0.0000022929847665",9.235500543e-07,-2.2929847665e-06
502947,"J4023011","103D","DOMESTIC DISTURBANCE","2B","10/26/2011 09:46:03 PM","079XX Mullet",NA,"(9.235500543E-7, -0.0000022929847665)",1,"9.235500543E-7, -0.0000022929847665",9.235500543e-07,-2.2929847665e-06
632060,"C4876012","103D","DOMESTIC DISTURBANCE","1B","03/31/2012 02:40:23 PM","Hwy 009XX",NA,"(9.235500543E-7, -0.0000022929847665)",1,"9.235500543E-7, -0.0000022929847665",9.235500543e-07,-2.2929847665e-06
1159216,"D4006713","103D","DOMESTIC DISTURBANCE","2B","04/29/2013 03:00:07 PM","136XX N Lemans Dr",NA,"(9.235500543E-7, -0.0000022929847665)",1,"9.235500543E-7, -0.0000022929847665",9.235500543e-07,-2.2929847665e-06
1331903,"I1656013","103D","DOMESTIC DISTURBANCE","2B","09/12/2013 08:02:58 PM","061XX Tullis Drive",NA,"(9.235500543E-7, -0.0000022929847665)",1,"9.235500543E-7, -0.0000022929847665",9.235500543e-07,-2.2929847665e-06
2080478,"E1264815","35D","SIMPLE BATTERY DOMESTIC","2B","05/10/2015 06:26:58 PM","X Dis",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3244588,"B0195618","35D","SIMPLE BATTERY DOMESTIC","2C","02/02/2018 03:50:23 PM","123XX N I-10 Service Rd",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3248375,"A3616818","103D","DOMESTIC DISTURBANCE","2C","01/31/2018 01:32:21 PM","006XX Basin",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3252246,"B1113718","35D","SIMPLE BATTERY DOMESTIC","2C","02/10/2018 06:09:58 AM","070XX Bundy Rd",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3254156,"B0587118","35D","SIMPLE BATTERY DOMESTIC","2C","02/05/2018 09:56:56 PM","105XX Curran Blvd",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3260192,"B0847618","103D","DOMESTIC DISTURBANCE","1A","02/08/2018 09:28:53 AM","061XX N Robertson St",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3271408,"B1754918","56D","CRIMINAL DAMAGE DOMESTIC","1A","02/14/2018 09:32:08 PM","070XX Bundy Rd",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3279401,"B2849818","103D","DOMESTIC DISTURBANCE","2C","02/23/2018 06:18:50 PM",":34XX Livingston St",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3281507,"B2988718","103D","DOMESTIC DISTURBANCE","2C","02/24/2018 09:43:36 PM","072XX Basin",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
3287371,"D0007818","103D","DOMESTIC DISTURBANCE","2C","04/01/2018 01:09:12 AM","017XX Julie",NA,"(0.0, 0.0)",1,"0.0, 0.0",0,0
