exposure,estimate,conf.low,conf.high
abs_hd_29,1.05,1.03,1.07
abs_hd_31,1.04,1.02,1.06
abs_hd_33,1.01,0.99,1.03
abs_hw_29_2d,1.05,1.03,1.07
abs_hw_29_3d,1.05,1.03,1.07
abs_hw_29_4d,1.03,1.01,1.05
abs_hw_29_5d,1.02,1,1.03
abs_hw_31_2d,1.03,1.01,1.05
abs_hw_31_3d,1.02,1.01,1.04
abs_hw_31_4d,1.02,1,1.04
abs_hw_31_5d,1.01,0.99,1.03
abs_hw_33_2d,1.02,1,1.04
abs_hw_33_3d,1.03,1.01,1.05
abs_hw_33_4d,1.03,1,1.05
abs_hw_33_5d,1.02,1,1.05
rel_hd_zip_doy_85,1.03,1.01,1.04
rel_hd_zip_only_85,1.01,0.99,1.03
rel_hd_zip_doy_90,1.03,1.02,1.05
rel_hd_zip_only_90,1.02,1,1.04
rel_hd_zip_doy_95,1.04,1.02,1.06
rel_hd_zip_only_95,1.03,1.01,1.06
rel_hw_zip_doy_85_2d,1.04,1.02,1.06
rel_hw_zip_doy_85_3d,1.04,1.02,1.06
rel_hw_zip_doy_85_4d,1.04,1.01,1.06
rel_hw_zip_doy_85_5d,1.04,1.01,1.07
rel_hw_zip_only_85_2d,1.02,1,1.04
rel_hw_zip_only_85_3d,1.02,1,1.05
rel_hw_zip_only_85_4d,1.03,1,1.05
rel_hw_zip_only_85_5d,1.02,1,1.05
rel_hw_zip_doy_90_2d,1.03,1.01,1.05
rel_hw_zip_doy_90_3d,1.04,1.01,1.07
rel_hw_zip_doy_90_4d,1.02,0.99,1.06
rel_hw_zip_doy_90_5d,1.02,0.98,1.06
rel_hw_zip_only_90_2d,1.02,1,1.04
rel_hw_zip_only_90_3d,1.04,1.01,1.07
rel_hw_zip_only_90_4d,1.04,1.02,1.07
rel_hw_zip_only_90_5d,1.03,1,1.07
rel_hw_zip_doy_95_2d,1.03,1.01,1.06
rel_hw_zip_doy_95_3d,1.04,1.01,1.08
rel_hw_zip_doy_95_4d,1.04,1,1.09
rel_hw_zip_doy_95_5d,1.07,1.02,1.13
rel_hw_zip_only_95_2d,1.03,1,1.06
rel_hw_zip_only_95_3d,1.04,1,1.08
rel_hw_zip_only_95_4d,1.06,1.01,1.11
rel_hw_zip_only_95_5d,1.03,0.97,1.09
